股票代码,截止日期,股票名称,行业,上市时间,市盈率-动态,市净率,总市值,流通市值
601995,2020-11-02,中金公司,证券,20201102,19.13,1.72,167457540751.0,101417687244.0
300999,2020-10-15,金龙鱼,食品饮料,20201015,43.43,1.65,159177927497.0,15932118768.0
300896,2020-09-28,爱美客,美容护理,20200928,30.15,5.95,43948470940.0,30295839627.0
688256,2020-07-20,寒武纪-U,半导体,20200720,220.88,41.78,472574136316.0,468836729032.0
688981,2020-07-16,中芯国际,半导体,20200716,185.59,6.2,935500872121.0,233808848855.0
688599,2020-06-10,天合光能,光伏设备,20200610,-8.26,1.9,46289137475.0,46289137475.0
600918,2020-06-03,中泰证券,证券,20200603,28.87,1.13,50043915095.0,24811355056.0
300832,2020-05-12,新产业,医疗器械,20200512,25.46,4.68,40896662759.0,35497962744.0
688126,2020-04-20,沪硅产业,半导体,20200420,-80.81,3.39,68017381428.0,56217535161.0
603392,2020-04-29,万泰生物,生物制品,20200429,-219.6,4.2,50778015009.0,50778015009.0
688396,2020-02-27,华润微,半导体,20200227,113.24,3.47,79346432118.0,79346432118.0
688169,2020-02-21,石头科技,家电行业,20200221,27.75,2.79,38399563738.0,38399563738.0
603195,2020-02-06,公牛集团,家用轻工,20200206,19.47,4.94,77324290940.0,77014413137.0
601816,2020-01-16,京沪高铁,铁路公路,20200116,17.49,1.18,240225085707.0,240225085707.0
601658,2019-12-10,邮储银行,银行,20191210,5.96,0.61,608881921204.0,340310543664.0
601916,2019-11-26,浙商银行,银行,20191126,5.23,0.46,81295322450.0,63771530450.0
688111,2019-11-18,金山办公,软件开发,20191118,90.62,11.73,142384985341.0,142384985341.0
688036,2019-09-30,传音控股,消费电子,20190930,23.57,3.31,67493949873.0,67493949873.0
003816,2019-08-26,中国广核,电力行业,20190826,16.91,1.57,193410139255.0,150653455505.0
688008,2019-07-22,澜起科技,半导体,20190722,92.44,16.37,201174123457.0,188701805357.0
688012,2019-07-22,中微公司,半导体,20190722,133.57,10.05,215707058262.0,215707058262.0
